timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,dct_ratio,ddct_ratio
4,G06,18,8_1,DI73,rcvrd_leaf,100,13.54,86.46,8.434135802,0.047131622,-4.672480294
3,E09,22,8_1,DI73,TBSV_DI72,100,16.475,83.525,12.37,0.047650404,0.435812449
3,G02,28,4_9,DI73,TBSV,100,13.695,86.305,15.15,0.052951741,0.394785479
2,E12,8,4_9,DI73,TBSV,100,13.895,86.105,14.95,0.05324894,0.401070234
2,A11,16,4_9,DI73,TBSV,100,15.41,84.59,13.435,0.054734602,0.449646446
2,E03,11,3_23,DI73,TBSV_DI72,30.435,16.52,13.915,-57.24,0.057491915,-0.038626834
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195,-51.982,0.060842434,28.9754738
3,C03,9,8_1,DI73,TBSV,100,15.1005,84.8995,13.7445,0.064134653,0.498817709
3,A12,40,8_1,DI73,TBSV,100,17.38,82.62,11.465,0.065056887,0.591888356
3,G02,11,11_27,DI72,neg_plt,26.085,20.71,5.375,-12.0600463,0.066194581,-0.319753768
2,E02,39,8_10,DI72,TBSV_DI72,16.015,16.415,-0.4,-52.187,0.07497657,13.29943935
1,C08,5,11_27,DI72,neg_plt,27.715,21.515,6.2,-11.2350463,0.075513063,-0.29090009
1,A08,1,11_27,DI72,neg_plt,24.705,21.285,3.42,-14.0150463,0.076033793,-9.364173472
2,E02,7,11_27,DI72,neg_plt,33.18,26.005,7.175,-10.2600463,0.087676422,-0.267525435
3,E09,35,8_10,DI73,TBSV_DI72,100,17.1,82.9,11.745,0.090168878,0.756577267
2,E08,9,11_27,DI72,neg_plt,30.56,23.14,7.42,-10.0150463,0.093081603,-0.276416936
2,C12,17,8_1,DI73,TBSV_DI72,31.57,18.175,13.395,-57.76,0.094811497,-0.046416205
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.1005,19.9845,-51.1705,0.095073682,-0.06470525
1,A08,30,3_23,DI73,TBSV,100,11.875,88.125,16.97,0.10258156,0.615851503
2,A12,26,8_10,DI73,TBSV,38.78,10.695,28.085,-43.07,0.105928432,-0.101834223
1,G03,25,3_23,DI73,TBSV_DI72,29.57,13.03,16.54,-54.615,0.107920193,-0.058518722
2,E11,10,11_27,DI72,neg_plt,29.095,20.195,8.9,-8.535046296,0.110148515,-0.228719418
1,A11,2,11_27,DI72,neg_plt,34.06,25.55,8.51,-8.925046296,0.110218884,-0.264628769
2,E12,31,8_10,DI73,TBSV_DI72,100,12.83,87.17,16.015,0.113456464,0.705650952
1,C02,3,11_27,DI72,neg_plt,35.12,26.265,8.855,-8.580046296,0.114910459,-0.255535976
2,E05,8,11_27,DI72,neg_plt,30.55,21.065,9.485,-7.950046296,0.115354211,-0.205206615
3,G06,na,unk,DI72,neg_plt,28.655,18.73,9.925,-7.510046296,0.115959808,-0.178357654
3,G05,12,11_27,DI72,neg_plt,34.155,24.81,9.345,-8.090046296,0.116907487,-0.221938996
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,-52.4615,0.118959436,12.31779761
3,G11,14,11_27,DI72,neg_plt,30.355,20.315,10.04,-7.395046296,0.121387982,-0.188520895
1,C05,4,11_27,DI72,neg_plt,30.92,20.32,10.6,-6.835046296,0.127980682,-0.173735555
3,G08,13,11_27,DI72,neg_plt,31.265,20.545,10.72,-6.715046296,0.12986069,-0.171886851
4,E12,35,8_1,DI73,rcvrd_leaf,30.94,11.41,19.53,-58.4958642,0.143113159,0.695576241
3,E02,27,8_1,DI72,TBSV_DI73,16.76,16.665,0.095,-51.692,0.153225806,-25.45150172
3,E02,36,8_10,DI72,TBSV_DI72,33.095,19.695,13.4,-38.387,0.161445783,-0.454763005
4,E09,38,8_1,DI73,rcvrd_leaf,33.65,8.72,24.93,-53.0958642,0.161652627,0.743058502
2,C12,6,11_27,DI73,neg_plt,100,20.605,79.395,1.369135802,0.168083632,-22.01266908
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115,-55.04,0.168166305,-0.07487282
2,G11,37,8_10,DI72,neg_plt,29.61,14.88,14.73,-2.705046296,0.168960771,-0.061905095
3,H11,37,8_10,DI72,neg_plt,30.06,15.21,14.85,-2.585046296,0.170181068,-0.05905078
3,G05,29,8_1,DI72,TBSV_DI73,17.23,17.625,-0.395,-52.182,0.174778761,61.46289753
1,A11,33,4_9,DI73,TBSV,29.08,13.195,15.885,-55.27,0.180358829,-0.077365659
3,C11,21,8_10,DI72,TBSV_DI72,32.53,17.095,15.435,-36.352,0.189189189,-0.437997012
3,E05,19,3_23,DI72,TBSV_DI72,16.58,16.64,-0.06,-51.847,0.214285714,-45.84173298
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,-52.222,0.218045113,89.42123288
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195,-50.592,0.218664227,-7.357766143
3,G11,4,8_10,DI72,neg_plt,33.04,14.3,18.74,1.304953704,0.22301559,0.032183995
2,C02,53,8_10,DI72,TBSV,29.47,30.38,-0.91,-52.697,0.223312883,19.78115616
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,-52.837,0.235690236,17.35775296
4,G03,5,8_1,DI73,rcvrd_leaf,30.505,8.395,22.11,-55.9158642,0.242424242,0.68179816
3,C08,6,4_9,DI72,TBSV_DI73,19.365,20.935,-1.57,-53.357,0.246467818,10.75962896
2,G02,na,1_3,DI72,neg_plt,30.36,18.08,12.28,-5.155046296,0.250152781,-0.919449399
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,-53.592,0.250868659,9.265560166
4,G02,5,8_1,DI72,rcvrd_leaf,12.835,11.325,1.51,-15.9250463,0.281716418,0.417724394
2,E11,31,8_10,DI72,TBSV_DI72,16.78,13.99,2.79,-48.997,0.282103134,-4.335634015
1,C06,50,8_10,DI73,TBSV,29.365,11.065,18.3,-52.855,0.29863388,-0.13009176
4,G05,18,8_1,DI72,rcvrd_leaf,14.72,13.495,1.225,-16.2100463,0.300613497,0.411335495
3,A05,na,3_23,DI72,neg_ctrl,33.24,13.48666667,19.75333333,48.16259259,0.321401453,1.831599118
2,C02,19,8_1,DI72,TBSV,16.23,14.97,1.26,-50.527,0.333333333,-9.733577345
3,A11,40,8_1,DI72,TBSV,18.135,16.305,1.83,-49.957,0.340465116,-7.361774241
1,A03,35,8_1,DI73,TBSV_DI73,24.11,8.26,15.85,-55.305,0.358044164,-7.804826418
1,A09,8,8_1,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667,-82.02166667,0.366871166,0.031402272
1,G08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,-52.832,0.409001957,46.18181818
1,A02,na,3_23,DI72,pos_ctrl,27.71333333,23.70333333,4.01,18.88772727,0.418289291,1.300115766
1,A08,8,8_1,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333,-53.46033333,0.419732441,20.75592079
2,C05,42,8_10,DI72,TBSV,27.73,29.87,-2.14,-53.927,0.432760364,15.25947934
2,E02,7,8_1,DI72,TBSV_DI72,15.84,15.63,0.21,-51.577,0.432989691,-27.20305907
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805,-46.982,0.434056007,-3.764281708
2,A03,na,8_10,DI73,pos_ctrl,12.46,22.96,-10.5,-7.099090909,0.459786892,0.396694635
2,C05,34,8_1,DI72,TBSV_DI73,15.155,17.305,-2.15,-53.937,0.470459519,17.07407407
3,G04,13,1_3,DI72,neg_plt,24.1,20.2,3.9,-13.5350463,0.493358634,0.380429465
3,G02,4,3_23,DI72,TBSV_DI72,15.925,15.815,0.11,-51.677,0.5,-31.6842428
3,A03,na,8_10,DI73,pos_ctrl,12.055,23.95,-11.895,-8.494090909,0.500420698,0.451118926
1,A09,1,11_27,DI73,neg_plt,100,17.5,82.5,4.474135802,0.545212121,0.334515252
1,A07,30,3_23,DI72,TBSV,18.15,13.155,4.995,-46.792,0.552544248,-4.477274902
3,A03,na,8_1,DI73,pos_ctrl,12.605,19.605,-7,-3.599090909,0.558213716,0.47363069
1,E02,47,8_10,DI72,TBSV_DI72,17.9,16.35,1.55,-50.237,0.57195572,-12.19048775
2,E05,24,3_23,DI72,TBSV_DI72,14.77,16.19,-1.42,-53.207,0.58677686,52.73240833
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,-52.607,0.592057762,-2023.346154
3,A11,46,8_10,DI72,TBSV,30.325,33.31,-2.985,-54.772,0.594621514,15.17650319
1,G02,25,3_23,DI72,TBSV_DI72,15.025,13.93,1.095,-50.692,0.613445378,-15.86107635
4,E08,38,8_1,DI72,rcvrd_leaf,14.69,12.19,2.5,-14.9350463,0.620347395,0.37854967
1,C10,27,4_9,DI72,TBSV,15.5,16.92,-1.42,-53.207,0.625550661,61.94062864
2,C11,6,11_27,DI72,neg_plt,33.395,24.855,8.54,-8.895046296,0.639940052,0.295140617
1,A02,na,4_9,DI72,pos_ctrl,29.005,22.205,6.8,21.67772727,0.645773979,1.401179132
3,G02,10,1_3,DI72,neg_plt,23.895,17.97,5.925,-11.5100463,0.649315068,0.335000135
2,G05,40,8_10,DI72,TBSV_DI73,16.97,20.1,-3.13,-54.917,0.649377593,16.10941625
2,C05,36,8_1,DI72,TBSV,15.485,17.165,-1.68,-53.467,0.651162791,45.73738238
1,G02,na,unk,DI72,neg_plt,26.23,17.99,8.24,-9.195046296,0.652156708,0.298072709
3,E11,45,8_1,DI72,TBSV_DI72,18.71,17.665,1.045,-50.742,0.672025723,-17.10788941
2,A10,16,4_9,DI72,TBSV,17.41,14.23,3.18,-48.607,0.686825054,-8.046184407
1,G04,na,unk,DI72,neg_plt,24.21,16.445,7.765,-9.670046296,0.688997338,0.300187695
1,G12,30,8_10,DI73,neg_plt,39.82,11.595,28.225,-49.8008642,0.71833481,0.466022703
3,G08,2,8_1,DI72,TBSV_DI73,16.85,17.68,-0.83,-52.617,0.734513274,-187.2491103
1,G06,na,unk,DI72,neg_plt,25.285,15.85,9.435,-8.000046296,0.746735259,0.259334798
4,E05,30,8_1,DI72,rcvrd_leaf,18.15,15.98,2.17,-15.2650463,0.753472222,0.375955495
3,E02,4,8_10,DI72,neg_plt,33.395,18.14,15.255,-2.180046296,0.754824344,0.093671425
1,G11,30,8_10,DI72,neg_plt,28.82,13.33,15.49,-1.945046296,0.763995068,0.083808099
3,G11,na,8_1,DI72,neg_plt,30.165,13.14,17.025,-0.410046296,0.772459165,0.019122321
1,G04,na,1_3,DI72,neg_plt,28.245,12.675,15.57,-1.865046296,0.784185344,0.078932622
2,A02,na,3_23,DI72,pos_ctrl,27.39666667,20.68666667,6.71,21.58772727,0.787250684,1.603319642
3,A02,na,3_23,DI72,pos_ctrl,31.07333333,23.30666667,7.766666667,22.64439394,0.817257103,1.567694293
1,A03,na,3_23,DI73,pos_ctrl,30.94333333,22.94666667,7.996666667,11.39757576,0.834144645,0.784539491
2,C12,8,4_9,DI72,TBSV,17.005,13.115,3.89,-47.897,0.848418757,-7.988158773
3,C02,9,8_1,DI72,TBSV,18.31,13.64,4.67,-47.117,0.857667585,-6.872374562
4,E11,35,8_1,DI72,rcvrd_leaf,14.62,12.21,2.41,-15.0250463,0.862254025,0.369271609
2,A06,na,8_10,DI73,neg_ctrl,100,36.2925,63.7075,22.55816667,0.86792003,0.589942941
3,E05,15,8_10,DI72,TBSV_DI72,18.27,22.91,-4.64,-56.427,0.882129278,14.66017147
3,A03,na,3_23,DI73,pos_ctrl,31.63,23.08333333,8.546666667,11.94757576,0.899333567,0.827142752
3,E02,33,8_1,DI72,TBSV_DI72,17.33,14.735,2.595,-49.192,0.931777379,-11.72354623
3,A06,na,8_1,DI73,neg_ctrl,100,30.3,69.7,28.55066667,0.94081123,0.733566002
1,A03,na,8_1,DI73,pos_ctrl,12.99,29.1,-16.11,-12.70909091,0.943484627,1.04740023
3,A06,na,8_10,DI73,neg_ctrl,100,34.26,65.74,24.59066667,0.94698934,0.717862932
1,A06,na,8_10,DI73,neg_ctrl,100,30.105,69.895,28.74566667,0.952215524,0.751758925
2,A02,na,8_1,DI72,pos_ctrl,10.495,23.275,-12.78,2.097727273,0.953375606,-0.247842899
3,C12,21,8_10,DI73,TBSV_DI72,100,16.03,83.97,12.815,0.971596999,6.476472883
1,C03,3,11_27,DI73,neg_plt,100,21.275,78.725,0.699135802,0.978850429,48.02595801
3,G03,11,11_27,DI73,neg_plt,100,18.29,81.71,3.684135802,0.993758414,10.2375886
1,A12,2,11_27,DI73,neg_plt,100,22.325,77.675,-0.350864198,0.994013518,-96.12456005
3,G09,13,11_27,DI73,neg_plt,100,17.845,82.155,4.129135802,0.995215021,0.105694602
1,C09,5,11_27,DI73,neg_plt,100,17.715,82.285,4.259135802,0.997812481,9.067958493
2,E12,10,11_27,DI73,neg_plt,100,19.045,80.955,2.929135802,0.998085356,12.7398213
3,G12,14,11_27,DI73,neg_plt,100,17.255,82.745,4.719135802,0.999577014,8.312256378
1,G11,na,8_1,DI72,neg_plt,31.12,31.12,0,-17.4350463,1,1.802995122
1,G12,na,8_1,DI73,neg_plt,100,15.04,84.96,6.934135802,1,-0.159466519
2,G08,16,8_10,DI72,TBSV_DI73,15.71,19.94,-4.23,-56.017,1,19.87123093
3,E03,36,8_10,DI73,TBSV_DI72,100,17.695,82.305,11.15,1.008444201,7.570493274
3,H12,37,8_10,DI73,neg_plt,100,13.73,86.27,8.244135802,1.0114756,5.310037064
2,E03,7,11_27,DI73,neg_plt,100,19.11,80.89,2.864135802,1.011682532,13.39031014
2,G12,37,8_10,DI73,neg_plt,100,13.84,86.16,8.134135802,1.01183844,5.372010959
1,C06,4,11_27,DI73,neg_plt,100,18.285,81.715,3.689135802,1.013583797,10.66419584
2,E09,9,11_27,DI73,neg_plt,100,21.44,78.56,0.534135802,1.014702138,67.83231256
3,G12,4,8_10,DI73,neg_plt,100,14.55,85.45,7.424135802,1.016898727,0.183101015
3,G06,12,11_27,DI73,neg_plt,100,21.965,78.035,0.009135802,1.024348049,3989.979935
1,G06,na,1_3,DI72,neg_plt,25.265,13.315,11.95,-5.485046296,1.045037167,0.17114919
2,E05,23,8_1,DI72,TBSV_DI72,16.24,14.06,2.18,-49.607,1.055690073,-14.27128884
2,A03,na,3_23,DI73,pos_ctrl,31.55333333,22.51666667,9.036666667,12.43757576,1.060226828,0.923738255
3,H08,16,8_10,DI72,TBSV_DI73,15.62,20.11,-4.49,-56.277,1.063981043,20.03453186
3,G09,17,3_23,DI72,TBSV_DI72,17.05,13.485,3.565,-48.222,1.086890244,-10.2796845
1,A03,na,8_10,DI73,pos_ctrl,12.79,27.23,-14.44,-11.03909091,1.100190476,1.348872515
1,G02,na,1_3,DI72,neg_plt,37.715,13.01,24.705,7.269953704,1.147202229,-0.331230331
1,E02,5,8_1,DI72,TBSV_DI72,16.11,15.67,0.44,-51.347,1.189189189,-28.83043234
3,G06,7,3_23,DI72,TBSV_DI72,16.015,18.03,-2.015,-53.802,1.21021021,211.8188976
1,A02,na,8_1,DI72,pos_ctrl,12.83,34.33,-21.5,-6.622272727,1.259150805,0.545764447
2,A03,na,8_1,DI73,pos_ctrl,12.665,29.71,-17.045,-13.64409091,1.27154047,1.612026064
3,E08,22,8_1,DI72,TBSV_DI72,18.775,13.615,5.16,-46.627,1.296482412,-8.649044704
3,H05,40,8_10,DI72,TBSV_DI73,16.46,21.16,-4.7,-56.487,1.316526611,26.16350162
2,A02,na,4_9,DI72,pos_ctrl,34.34666667,20.57666667,13.77,28.64772727,1.342541436,1.885000748
2,A03,na,4_9,DI73,pos_ctrl,34.34666667,20.34666667,14,17.40090909,1.364965875,1.144967848
2,A02,na,8_10,DI72,pos_ctrl,11.05,42.65666667,-31.60666667,-16.72893939,1.384031528,0.934807088
3,E02,18,3_23,DI72,TBSV_DI72,16.615,13.055,3.56,-48.227,1.47107438,-12.58861916
1,E08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,-48.927,1.505263158,-14.77710661
2,A05,na,4_9,DI73,neg_ctrl,33.55333333,11.69333333,21.86,-19.28933333,1.52547104,0.925830767
2,G11,na,8_1,DI72,neg_plt,42.005,10.1,31.905,14.4699537,1.579846497,-0.62133917
3,A02,na,8_1,DI72,pos_ctrl,10.21,30.91,-20.7,-5.822272727,1.650717703,0.766195442
3,A11,10,4_9,DI72,TBSV_DI73,20.005,16.095,3.91,-47.877,1.844339623,-13.55904843
3,A09,6,4_9,DI73,TBSV_DI73,29.985,33.43,-3.445,-74.6,1.849056604,0.066474531
2,E06,8,11_27,DI73,neg_plt,100,58.795,41.205,-36.8208642,1.995510254,-1.052166143
1,G02,30,8_1,DI72,TBSV_DI73,16.33,23.16333333,-6.833333333,-58.62033333,2.041832669,30.28431203
1,A05,na,3_23,DI72,neg_ctrl,28.54,12.055,16.485,44.89425926,2.042750929,-1.656943602
1,A02,na,8_10,DI72,pos_ctrl,14.705,41.565,-26.86,-11.98227273,2.04647619,1.464120414
3,C06,23,8_10,DI73,TBSV,31.655,35.44,-3.785,-74.94,2.184940555,0.091526555
3,G03,28,4_9,DI72,TBSV,23.095,12.69,10.405,-41.382,2.276805252,-6.918909881
1,G06,26,4_9,DI72,TBSV_DI73,14.71,13.375,1.335,-50.452,2.810526316,-26.75079533
3,G05,29,8_10,DI72,TBSV_DI73,27.22,40.1,-12.88,-64.667,2.830769231,20.60114686
2,C11,52,8_10,DI72,TBSV_DI72,16.33,21.535,-5.205,-56.992,3.315286624,358.4402516
2,G08,37,8_1,DI72,TBSV_DI73,19.1005,25.17,-6.0695,-57.8565,3.52877907,187.2378641
3,A02,na,8_10,DI72,pos_ctrl,10.735,100,-89.265,-74.38727273,3.755363904,3.950688416
3,G12,na,8_1,DI73,neg_plt,100,11.775,88.225,10.1991358,4.002949183,-0.475632013
1,D02,na,unk,DI72,neg_plt,79.29333333,15.67,63.62333333,46.18828704,4.050721561,-1.662844847
3,E03,4,8_10,DI73,neg_plt,100,17.215,82.785,4.759135802,4.096239485,-0.204488791
2,G12,na,8_1,DI73,neg_plt,100,11.3,88.7,10.6741358,4.392176281,-0.458346918
2,G06,21,4_9,DI72,TBSV_DI73,19.185,14.84,4.345,-47.442,4.526041667,-20.00927879
3,C05,21,8_1,DI72,TBSV,16.325,17.29,-0.965,-52.752,4.948717949,-43.38157895
3,F08,na,4_9,DI73,neg_ctrl,36.25333333,15.30666667,20.94666667,-20.20266667,5.352640546,0.646458691
3,D12,na,unk,DI73,neg_plt,100,26.51666667,73.48333333,-4.542530864,5.982360924,0.145593938
2,C03,19,8_1,DI73,TBSV,40.68,16.56,24.12,-47.035,6.380952381,-9.060874591
2,D06,na,unk,DI72,neg_plt,58.80333333,15.15,43.65333333,26.21828704,6.842215255,-0.706628884
3,D10,na,unk,DI72,neg_plt,100,15.77,84.23,66.7949537,6.857259161,-2.140863901
2,A05,na,3_23,DI72,neg_ctrl,32.92,12.27666667,20.64333333,49.05259259,6.927293064,-1.524100354
1,D04,na,unk,DI73,neg_plt,100,20.66,79.34,1.314135802,7.039929015,-0.040794779
3,C02,32,8_10,DI72,TBSV,29.495,100,-70.505,-122.292,7.773428886,15.96709753
1,E12,27,8_10,DI73,TBSV_DI72,100,10.9,89.1,17.945,8.048780488,1.437785434
3,C05,23,8_10,DI72,TBSV,16.74,100,-83.26,-135.047,10.06771463,19.68902172
2,E11,41,8_1,DI72,TBSV_DI72,16.1,13.705,2.395,-49.392,10.41304348,-30.09872029
3,E03,18,3_23,DI73,TBSV_DI72,40.855,13.725,27.13,-44.025,11.2107438,-11.4917776
3,C08,13,8_10,DI72,TBSV,16.64,100,-83.36,-135.147,11.74084507,23.75584461
2,D08,na,unk,DI73,neg_plt,100,23.7,76.3,-1.725864198,11.95924765,0.046515071
3,A12,na,unk,DI73,neg_plt,100,24.25,75.75,-2.275864198,12.69907795,0.060660056
1,G09,9,3_23,DI72,TBSV_DI72,23.72,13.955,9.765,-42.022,13.65734266,-19.76575729
3,A11,na,unk,DI72,neg_plt,100,16.12,83.88,66.4449537,14.0620285,-1.77099961
3,G02,34,8_10,DI72,TBSV_DI73,17.75,100,-82.25,-134.037,14.08390411,30.26349063
1,A05,na,4_9,DI73,neg_ctrl,30.1005,12.755,17.3455,-23.80383333,17.43266332,0.69663732
3,E12,18,8_10,DI73,TBSV_DI72,100,17.675,82.325,11.17,23.55507868,2.276803914
2,G05,15,8_1,DI72,TBSV_DI73,18.79,15.53,3.26,-48.527,25.07692308,-31.49059053
2,A08,10,8_10,DI72,TBSV,15.38,100,-84.62,-136.407,29.17931034,91.60980524
3,C12,6,3_23,DI72,TBSV,30.925,16.21,14.715,-37.072,35.8902439,-20.35804503
2,E06,23,8_1,DI73,TBSV_DI72,100,15.51,84.49,13.335,40.91525424,3.836306099
2,E08,38,8_1,DI72,TBSV_DI72,17.34,14.585,2.755,-49.032,55.1,-33.56057495
1,A11,51,8_10,DI72,TBSV,100,13.88,86.12,34.333,93.60869565,14.72887173
1,A12,51,8_10,DI73,TBSV,100,11.595,88.405,17.25,96.0923913,7.4002574
1,A08,5,8_10,DI72,TBSV,100,15.605,84.395,32.608,108.1987179,14.88270196
3,A07,4,4_9,DI72,TBSV_DI73,30.355,15.33,15.025,-36.762,130.6521739,-24.0904325
